0.019531	0.000000
0.058594	0.000000
0.097656	0.000000
0.136719	0.000000
0.175781	0.000000
0.214844	0.000000
0.253906	179.000000
0.292969	489.000000
0.332031	532.000000
0.371094	512.000000
0.410156	513.000000
0.449219	519.000000
0.488281	529.000000
0.527344	561.000000
0.566406	540.000000
0.605469	538.000000
0.644531	525.000000
0.683594	557.000000
0.722656	555.000000
0.761719	572.000000
0.800781	599.000000
0.839844	605.000000
0.878906	598.000000
0.917969	589.000000
0.957031	624.000000
0.996094	577.000000
1.035156	663.000000
1.074219	681.000000
1.113281	718.000000
1.152344	667.000000
1.191406	695.000000
1.230469	683.000000
1.269531	719.000000
1.308594	734.000000
1.347656	712.000000
1.386719	767.000000
1.425781	716.000000
1.464844	799.000000
1.503906	732.000000
1.542969	795.000000
1.582031	817.000000
1.621094	753.000000
1.660156	724.000000
1.699219	774.000000
1.738281	798.000000
1.777344	846.000000
1.816406	864.000000
1.855469	816.000000
1.894531	847.000000
1.933594	826.000000
1.972656	781.000000
2.011719	829.000000
2.050781	851.000000
2.089844	858.000000
2.128906	850.000000
2.167969	911.000000
2.207031	953.000000
2.246094	969.000000
2.285156	978.000000
2.324219	1001.000000
2.363281	1215.000000
2.402344	1137.000000
2.441406	1203.000000
2.480469	1207.000000
2.519531	1235.000000
2.558594	1177.000000
2.597656	1159.000000
2.636719	1078.000000
2.675781	1166.000000
2.714844	1012.000000
2.753906	959.000000
2.792969	980.000000
2.832031	941.000000
2.871094	936.000000
2.910156	905.000000
2.949219	960.000000
2.988281	841.000000
3.027344	884.000000
3.066406	842.000000
3.105469	816.000000
3.144531	823.000000
3.183594	764.000000
3.222656	767.000000
3.261719	690.000000
3.300781	708.000000
3.339844	738.000000
3.378906	743.000000
3.417969	705.000000
3.457031	681.000000
3.496094	688.000000
3.535156	687.000000
3.574219	644.000000
3.613281	641.000000
3.652344	630.000000
3.691406	588.000000
3.730469	632.000000
3.769531	580.000000
3.808594	610.000000
3.847656	657.000000
3.886719	639.000000
3.925781	591.000000
3.964844	590.000000
4.003906	623.000000
4.042969	599.000000
4.082031	640.000000
4.121094	569.000000
4.160156	610.000000
4.199219	572.000000
4.238281	588.000000
4.277344	570.000000
4.316406	543.000000
4.355469	504.000000
4.394531	481.000000
4.433594	437.000000
4.472656	447.000000
4.511719	427.000000
4.550781	420.000000
4.589844	384.000000
4.628906	358.000000
4.667969	345.000000
4.707031	336.000000
4.746094	303.000000
4.785156	300.000000
4.824219	289.000000
4.863281	292.000000
4.902344	260.000000
4.941406	275.000000
4.980469	221.000000
5.019531	228.000000
5.058594	241.000000
5.097656	191.000000
5.136719	241.000000
5.175781	197.000000
5.214844	223.000000
5.253906	203.000000
5.292969	197.000000
5.332031	208.000000
5.371094	210.000000
5.410156	228.000000
5.449219	180.000000
5.488281	189.000000
5.527344	182.000000
5.566406	198.000000
5.605469	191.000000
5.644531	196.000000
5.683594	166.000000
5.722656	198.000000
5.761719	194.000000
5.800781	199.000000
5.839844	204.000000
5.878906	189.000000
5.917969	190.000000
5.957031	207.000000
5.996094	197.000000
6.035156	229.000000
6.074219	235.000000
6.113281	249.000000
6.152344	306.000000
6.191406	310.000000
6.230469	348.000000
6.269531	466.000000
6.308594	538.000000
6.347656	695.000000
6.386719	862.000000
6.425781	1018.000000
6.464844	1125.000000
6.503906	1398.000000
6.542969	1648.000000
6.582031	1909.000000
6.621094	2113.000000
6.660156	2336.000000
6.699219	2683.000000
6.738281	2725.000000
6.777344	2968.000000
6.816406	2965.000000
6.855469	3124.000000
6.894531	2878.000000
6.933594	2891.000000
6.972656	2664.000000
7.011719	2284.000000
7.050781	2253.000000
7.089844	1959.000000
7.128906	1702.000000
7.167969	1404.000000
7.207031	1189.000000
7.246094	895.000000
7.285156	831.000000
7.324219	605.000000
7.363281	551.000000
7.402344	394.000000
7.441406	325.000000
7.480469	252.000000
7.519531	201.000000
7.558594	195.000000
7.597656	139.000000
7.636719	134.000000
7.675781	117.000000
7.714844	126.000000
7.753906	118.000000
7.792969	113.000000
7.832031	103.000000
7.871094	97.000000
7.910156	95.000000
7.949219	89.000000
7.988281	85.000000
8.027344	101.000000
8.066406	92.000000
8.105469	91.000000
8.144531	100.000000
8.183594	101.000000
8.222656	94.000000
8.261719	99.000000
8.300781	85.000000
8.339844	98.000000
8.378906	92.000000
8.417969	95.000000
8.457031	93.000000
8.496094	104.000000
8.535156	92.000000
8.574219	85.000000
8.613281	91.000000
8.652344	89.000000
8.691406	101.000000
8.730469	106.000000
8.769531	80.000000
8.808594	80.000000
8.847656	78.000000
8.886719	76.000000
8.925781	81.000000
8.964844	107.000000
9.003906	93.000000
9.042969	83.000000
9.082031	85.000000
9.121094	103.000000
9.160156	107.000000
9.199219	94.000000
9.238281	106.000000
9.277344	99.000000
9.316406	106.000000
9.355469	89.000000
9.394531	81.000000
9.433594	102.000000
9.472656	93.000000
9.511719	102.000000
9.550781	82.000000
9.589844	97.000000
9.628906	96.000000
9.667969	85.000000
9.707031	95.000000
9.746094	100.000000
9.785156	92.000000
9.824219	102.000000
9.863281	93.000000
9.902344	95.000000
9.941406	101.000000
9.980469	105.000000
